0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
82 0 ['38d2m42s', '115d51m53s'] ['38d2m42s', '115d48m22s'] ['38d0m0s', '115d51m53s'] ['38d0m0s', '115d48m22s'] 2425
83 0 ['38d2m42s', '115d55m24s'] ['38d2m42s', '115d51m53s'] ['38d0m0s', '115d55m24s'] ['38d0m0s', '115d51m53s'] 2386
84 0 ['38d2m42s', '115d58m55s'] ['38d2m42s', '115d55m24s'] ['38d0m0s', '115d58m55s'] ['38d0m0s', '115d55m24s'] 1729
85 0 ['38d2m42s', '116d2m26s'] ['38d2m42s', '115d58m55s'] ['38d0m0s', '116d2m26s'] ['38d0m0s', '115d58m55s'] 1513
86 0 ['38d2m42s', '116d5m57s'] ['38d2m42s', '116d2m26s'] ['38d0m0s', '116d5m57s'] ['38d0m0s', '116d2m26s'] 1651
87 0 ['38d2m42s', '116d9m28s'] ['38d2m42s', '116d5m57s'] ['38d0m0s', '116d9m28s'] ['38d0m0s', '116d5m57s'] 2105
88 0 ['38d2m42s', '116d12m59s'] ['38d2m42s', '116d9m28s'] ['38d0m0s', '116d12m59s'] ['38d0m0s', '116d9m28s'] 2420
89 0 ['38d2m42s', '116d16m30s'] ['38d2m42s', '116d12m59s'] ['38d0m0s', '116d16m30s'] ['38d0m0s', '116d12m59s'] 2046
90 0 ['38d2m42s', '116d20m1s'] ['38d2m42s', '116d16m30s'] ['38d0m0s', '116d20m1s'] ['38d0m0s', '116d16m30s'] 1827
91 0 ['38d2m42s', '116d23m32s'] ['38d2m42s', '116d20m1s'] ['38d0m0s', '116d23m32s'] ['38d0m0s', '116d20m1s'] 2204
92 0 ['38d2m42s', '116d27m3s'] ['38d2m42s', '116d23m32s'] ['38d0m0s', '116d27m3s'] ['38d0m0s', '116d23m32s'] 2835
93 0 ['38d2m42s', '116d30m34s'] ['38d2m42s', '116d27m3s'] ['38d0m0s', '116d30m34s'] ['38d0m0s', '116d27m3s'] 2807
94 0 ['38d2m42s', '116d34m5s'] ['38d2m42s', '116d30m34s'] ['38d0m0s', '116d34m5s'] ['38d0m0s', '116d30m34s'] 2426
95 0 ['38d2m42s', '116d37m36s'] ['38d2m42s', '116d34m5s'] ['38d0m0s', '116d37m36s'] ['38d0m0s', '116d34m5s'] 1999
96 0 ['38d2m42s', '116d41m7s'] ['38d2m42s', '116d37m36s'] ['38d0m0s', '116d41m7s'] ['38d0m0s', '116d37m36s'] 1773
97 0 ['38d2m42s', '116d44m38s'] ['38d2m42s', '116d41m7s'] ['38d0m0s', '116d44m38s'] ['38d0m0s', '116d41m7s'] 1937
98 0 ['38d2m42s', '116d48m9s'] ['38d2m42s', '116d44m38s'] ['38d0m0s', '116d48m9s'] ['38d0m0s', '116d44m38s'] 1884
99 0 ['38d2m42s', '116d51m40s'] ['38d2m42s', '116d48m9s'] ['38d0m0s', '116d51m40s'] ['38d0m0s', '116d48m9s'] 1791
100 0 ['38d2m42s', '116d55m11s'] ['38d2m42s', '116d51m40s'] ['38d0m0s', '116d55m11s'] ['38d0m0s', '116d51m40s'] 1892
101 0 ['38d2m42s', '116d58m42s'] ['38d2m42s', '116d55m11s'] ['38d0m0s', '116d58m42s'] ['38d0m0s', '116d55m11s'] 1715
102 0 ['38d2m42s', '117d2m13s'] ['38d2m42s', '116d58m42s'] ['38d0m0s', '117d2m13s'] ['38d0m0s', '116d58m42s'] 1642
103 0 ['38d2m42s', '117d5m44s'] ['38d2m42s', '117d2m13s'] ['38d0m0s', '117d5m44s'] ['38d0m0s', '117d2m13s'] 1648
104 0 ['38d2m42s', '117d9m15s'] ['38d2m42s', '117d5m44s'] ['38d0m0s', '117d9m15s'] ['38d0m0s', '117d5m44s'] 1767
105 0 ['38d2m42s', '117d12m46s'] ['38d2m42s', '117d9m15s'] ['38d0m0s', '117d12m46s'] ['38d0m0s', '117d9m15s'] 2077
106 0 ['38d2m42s', '117d16m17s'] ['38d2m42s', '117d12m46s'] ['38d0m0s', '117d16m17s'] ['38d0m0s', '117d12m46s'] 2023
107 0 ['38d2m42s', '117d19m48s'] ['38d2m42s', '117d16m17s'] ['38d0m0s', '117d19m48s'] ['38d0m0s', '117d16m17s'] 1844
