0 0 ['38d2m42s', '111d3m31s'] ['38d2m42s', '111d0m0s'] ['38d0m0s', '111d3m31s'] ['38d0m0s', '111d0m0s'] 1970
222 36 ['39d39m54s', '124d4m13s'] ['39d39m54s', '124d0m42s'] ['39d37m12s', '124d4m13s'] ['39d37m12s', '124d0m42s'] 0
223 36 ['39d39m54s', '124d7m44s'] ['39d39m54s', '124d4m13s'] ['39d37m12s', '124d7m44s'] ['39d37m12s', '124d4m13s'] 0
224 36 ['39d39m54s', '124d11m15s'] ['39d39m54s', '124d7m44s'] ['39d37m12s', '124d11m15s'] ['39d37m12s', '124d7m44s'] 0
225 36 ['39d39m54s', '124d14m46s'] ['39d39m54s', '124d11m15s'] ['39d37m12s', '124d14m46s'] ['39d37m12s', '124d11m15s'] 0
226 36 ['39d39m54s', '124d18m17s'] ['39d39m54s', '124d14m46s'] ['39d37m12s', '124d18m17s'] ['39d37m12s', '124d14m46s'] 0
227 36 ['39d39m54s', '124d21m48s'] ['39d39m54s', '124d18m17s'] ['39d37m12s', '124d21m48s'] ['39d37m12s', '124d18m17s'] 0
228 36 ['39d39m54s', '124d25m19s'] ['39d39m54s', '124d21m48s'] ['39d37m12s', '124d25m19s'] ['39d37m12s', '124d21m48s'] 0
229 36 ['39d39m54s', '124d28m50s'] ['39d39m54s', '124d25m19s'] ['39d37m12s', '124d28m50s'] ['39d37m12s', '124d25m19s'] 0
230 36 ['39d39m54s', '124d32m21s'] ['39d39m54s', '124d28m50s'] ['39d37m12s', '124d32m21s'] ['39d37m12s', '124d28m50s'] 0
231 36 ['39d39m54s', '124d35m52s'] ['39d39m54s', '124d32m21s'] ['39d37m12s', '124d35m52s'] ['39d37m12s', '124d32m21s'] 0
232 36 ['39d39m54s', '124d39m23s'] ['39d39m54s', '124d35m52s'] ['39d37m12s', '124d39m23s'] ['39d37m12s', '124d35m52s'] 0
233 36 ['39d39m54s', '124d42m54s'] ['39d39m54s', '124d39m23s'] ['39d37m12s', '124d42m54s'] ['39d37m12s', '124d39m23s'] 0
234 36 ['39d39m54s', '124d46m25s'] ['39d39m54s', '124d42m54s'] ['39d37m12s', '124d46m25s'] ['39d37m12s', '124d42m54s'] 0
235 36 ['39d39m54s', '124d49m56s'] ['39d39m54s', '124d46m25s'] ['39d37m12s', '124d49m56s'] ['39d37m12s', '124d46m25s'] 0
236 36 ['39d39m54s', '124d53m27s'] ['39d39m54s', '124d49m56s'] ['39d37m12s', '124d53m27s'] ['39d37m12s', '124d49m56s'] 0
237 36 ['39d39m54s', '124d56m58s'] ['39d39m54s', '124d53m27s'] ['39d37m12s', '124d56m58s'] ['39d37m12s', '124d53m27s'] 0
238 36 ['39d39m54s', '125d0m29s'] ['39d39m54s', '124d56m58s'] ['39d37m12s', '125d0m29s'] ['39d37m12s', '124d56m58s'] 0
239 36 ['39d39m54s', '125d4m0s'] ['39d39m54s', '125d0m29s'] ['39d37m12s', '125d4m0s'] ['39d37m12s', '125d0m29s'] 0
0 37 ['39d42m36s', '111d3m31s'] ['39d42m36s', '111d0m0s'] ['39d39m54s', '111d3m31s'] ['39d39m54s', '111d0m0s'] 2708
1 37 ['39d42m36s', '111d7m2s'] ['39d42m36s', '111d3m31s'] ['39d39m54s', '111d7m2s'] ['39d39m54s', '111d3m31s'] 2922
2 37 ['39d42m36s', '111d10m33s'] ['39d42m36s', '111d7m2s'] ['39d39m54s', '111d10m33s'] ['39d39m54s', '111d7m2s'] 2946
3 37 ['39d42m36s', '111d14m4s'] ['39d42m36s', '111d10m33s'] ['39d39m54s', '111d14m4s'] ['39d39m54s', '111d10m33s'] 2948
4 37 ['39d42m36s', '111d17m35s'] ['39d42m36s', '111d14m4s'] ['39d39m54s', '111d17m35s'] ['39d39m54s', '111d14m4s'] 2960
5 37 ['39d42m36s', '111d21m6s'] ['39d42m36s', '111d17m35s'] ['39d39m54s', '111d21m6s'] ['39d39m54s', '111d17m35s'] 2818
6 37 ['39d42m36s', '111d24m37s'] ['39d42m36s', '111d21m6s'] ['39d39m54s', '111d24m37s'] ['39d39m54s', '111d21m6s'] 2800
7 37 ['39d42m36s', '111d28m8s'] ['39d42m36s', '111d24m37s'] ['39d39m54s', '111d28m8s'] ['39d39m54s', '111d24m37s'] 2156
8 37 ['39d42m36s', '111d31m39s'] ['39d42m36s', '111d28m8s'] ['39d39m54s', '111d31m39s'] ['39d39m54s', '111d28m8s'] 2377
9 37 ['39d42m36s', '111d35m10s'] ['39d42m36s', '111d31m39s'] ['39d39m54s', '111d35m10s'] ['39d39m54s', '111d31m39s'] 2392
10 37 ['39d42m36s', '111d38m41s'] ['39d42m36s', '111d35m10s'] ['39d39m54s', '111d38m41s'] ['39d39m54s', '111d35m10s'] 2402
11 37 ['39d42m36s', '111d42m12s'] ['39d42m36s', '111d38m41s'] ['39d39m54s', '111d42m12s'] ['39d39m54s', '111d38m41s'] 2428
12 37 ['39d42m36s', '111d45m43s'] ['39d42m36s', '111d42m12s'] ['39d39m54s', '111d45m43s'] ['39d39m54s', '111d42m12s'] 3038
13 37 ['39d42m36s', '111d49m14s'] ['39d42m36s', '111d45m43s'] ['39d39m54s', '111d49m14s'] ['39d39m54s', '111d45m43s'] 2523
14 37 ['39d42m36s', '111d52m45s'] ['39d42m36s', '111d49m14s'] ['39d39m54s', '111d52m45s'] ['39d39m54s', '111d49m14s'] 1947
15 37 ['39d42m36s', '111d56m16s'] ['39d42m36s', '111d52m45s'] ['39d39m54s', '111d56m16s'] ['39d39m54s', '111d52m45s'] 1784
16 37 ['39d42m36s', '111d59m47s'] ['39d42m36s', '111d56m16s'] ['39d39m54s', '111d59m47s'] ['39d39m54s', '111d56m16s'] 1926
17 37 ['39d42m36s', '112d3m18s'] ['39d42m36s', '111d59m47s'] ['39d39m54s', '112d3m18s'] ['39d39m54s', '111d59m47s'] 1938
18 37 ['39d42m36s', '112d6m49s'] ['39d42m36s', '112d3m18s'] ['39d39m54s', '112d6m49s'] ['39d39m54s', '112d3m18s'] 1979
19 37 ['39d42m36s', '112d10m20s'] ['39d42m36s', '112d6m49s'] ['39d39m54s', '112d10m20s'] ['39d39m54s', '112d6m49s'] 1764
20 37 ['39d42m36s', '112d13m51s'] ['39d42m36s', '112d10m20s'] ['39d39m54s', '112d13m51s'] ['39d39m54s', '112d10m20s'] 1772
21 37 ['39d42m36s', '112d17m22s'] ['39d42m36s', '112d13m51s'] ['39d39m54s', '112d17m22s'] ['39d39m54s', '112d13m51s'] 1697
22 37 ['39d42m36s', '112d20m53s'] ['39d42m36s', '112d17m22s'] ['39d39m54s', '112d20m53s'] ['39d39m54s', '112d17m22s'] 1770
23 37 ['39d42m36s', '112d24m24s'] ['39d42m36s', '112d20m53s'] ['39d39m54s', '112d24m24s'] ['39d39m54s', '112d20m53s'] 1615
24 37 ['39d42m36s', '112d27m55s'] ['39d42m36s', '112d24m24s'] ['39d39m54s', '112d27m55s'] ['39d39m54s', '112d24m24s'] 1656
25 37 ['39d42m36s', '112d31m26s'] ['39d42m36s', '112d27m55s'] ['39d39m54s', '112d31m26s'] ['39d39m54s', '112d27m55s'] 1512
26 37 ['39d42m36s', '112d34m57s'] ['39d42m36s', '112d31m26s'] ['39d39m54s', '112d34m57s'] ['39d39m54s', '112d31m26s'] 1478
27 37 ['39d42m36s', '112d38m28s'] ['39d42m36s', '112d34m57s'] ['39d39m54s', '112d38m28s'] ['39d39m54s', '112d34m57s'] 1454
28 37 ['39d42m36s', '112d41m59s'] ['39d42m36s', '112d38m28s'] ['39d39m54s', '112d41m59s'] ['39d39m54s', '112d38m28s'] 1425
29 37 ['39d42m36s', '112d45m30s'] ['39d42m36s', '112d41m59s'] ['39d39m54s', '112d45m30s'] ['39d39m54s', '112d41m59s'] 1552
30 37 ['39d42m36s', '112d49m1s'] ['39d42m36s', '112d45m30s'] ['39d39m54s', '112d49m1s'] ['39d39m54s', '112d45m30s'] 1573
31 37 ['39d42m36s', '112d52m32s'] ['39d42m36s', '112d49m1s'] ['39d39m54s', '112d52m32s'] ['39d39m54s', '112d49m1s'] 1548
32 37 ['39d42m36s', '112d56m3s'] ['39d42m36s', '112d52m32s'] ['39d39m54s', '112d56m3s'] ['39d39m54s', '112d52m32s'] 1781
33 37 ['39d42m36s', '112d59m34s'] ['39d42m36s', '112d56m3s'] ['39d39m54s', '112d59m34s'] ['39d39m54s', '112d56m3s'] 1651
34 37 ['39d42m36s', '113d3m5s'] ['39d42m36s', '112d59m34s'] ['39d39m54s', '113d3m5s'] ['39d39m54s', '112d59m34s'] 1754
35 37 ['39d42m36s', '113d6m36s'] ['39d42m36s', '113d3m5s'] ['39d39m54s', '113d6m36s'] ['39d39m54s', '113d3m5s'] 2141
36 37 ['39d42m36s', '113d10m7s'] ['39d42m36s', '113d6m36s'] ['39d39m54s', '113d10m7s'] ['39d39m54s', '113d6m36s'] 2067
37 37 ['39d42m36s', '113d13m38s'] ['39d42m36s', '113d10m7s'] ['39d39m54s', '113d13m38s'] ['39d39m54s', '113d10m7s'] 1651
38 37 ['39d42m36s', '113d17m9s'] ['39d42m36s', '113d13m38s'] ['39d39m54s', '113d17m9s'] ['39d39m54s', '113d13m38s'] 1474
39 37 ['39d42m36s', '113d20m40s'] ['39d42m36s', '113d17m9s'] ['39d39m54s', '113d20m40s'] ['39d39m54s', '113d17m9s'] 1386
40 37 ['39d42m36s', '113d24m11s'] ['39d42m36s', '113d20m40s'] ['39d39m54s', '113d24m11s'] ['39d39m54s', '113d20m40s'] 2125
41 37 ['39d42m36s', '113d27m42s'] ['39d42m36s', '113d24m11s'] ['39d39m54s', '113d27m42s'] ['39d39m54s', '113d24m11s'] 2483
42 37 ['39d42m36s', '113d31m13s'] ['39d42m36s', '113d27m42s'] ['39d39m54s', '113d31m13s'] ['39d39m54s', '113d27m42s'] 1947
43 37 ['39d42m36s', '113d34m44s'] ['39d42m36s', '113d31m13s'] ['39d39m54s', '113d34m44s'] ['39d39m54s', '113d31m13s'] 1696
44 37 ['39d42m36s', '113d38m15s'] ['39d42m36s', '113d34m44s'] ['39d39m54s', '113d38m15s'] ['39d39m54s', '113d34m44s'] 1789
45 37 ['39d42m36s', '113d41m46s'] ['39d42m36s', '113d38m15s'] ['39d39m54s', '113d41m46s'] ['39d39m54s', '113d38m15s'] 1692
46 37 ['39d42m36s', '113d45m17s'] ['39d42m36s', '113d41m46s'] ['39d39m54s', '113d45m17s'] ['39d39m54s', '113d41m46s'] 1555
47 37 ['39d42m36s', '113d48m48s'] ['39d42m36s', '113d45m17s'] ['39d39m54s', '113d48m48s'] ['39d39m54s', '113d45m17s'] 1476
48 37 ['39d42m36s', '113d52m19s'] ['39d42m36s', '113d48m48s'] ['39d39m54s', '113d52m19s'] ['39d39m54s', '113d48m48s'] 1617
49 37 ['39d42m36s', '113d55m50s'] ['39d42m36s', '113d52m19s'] ['39d39m54s', '113d55m50s'] ['39d39m54s', '113d52m19s'] 2572
50 37 ['39d42m36s', '113d59m21s'] ['39d42m36s', '113d55m50s'] ['39d39m54s', '113d59m21s'] ['39d39m54s', '113d55m50s'] 2658
51 37 ['39d42m36s', '114d2m52s'] ['39d42m36s', '113d59m21s'] ['39d39m54s', '114d2m52s'] ['39d39m54s', '113d59m21s'] 2751
52 37 ['39d42m36s', '114d6m23s'] ['39d42m36s', '114d2m52s'] ['39d39m54s', '114d6m23s'] ['39d39m54s', '114d2m52s'] 2399
53 37 ['39d42m36s', '114d9m54s'] ['39d42m36s', '114d6m23s'] ['39d39m54s', '114d9m54s'] ['39d39m54s', '114d6m23s'] 2915
54 37 ['39d42m36s', '114d13m25s'] ['39d42m36s', '114d9m54s'] ['39d39m54s', '114d13m25s'] ['39d39m54s', '114d9m54s'] 2941
55 37 ['39d42m36s', '114d16m56s'] ['39d42m36s', '114d13m25s'] ['39d39m54s', '114d16m56s'] ['39d39m54s', '114d13m25s'] 2878
56 37 ['39d42m36s', '114d20m27s'] ['39d42m36s', '114d16m56s'] ['39d39m54s', '114d20m27s'] ['39d39m54s', '114d16m56s'] 2331
57 37 ['39d42m36s', '114d23m58s'] ['39d42m36s', '114d20m27s'] ['39d39m54s', '114d23m58s'] ['39d39m54s', '114d20m27s'] 2127
58 37 ['39d42m36s', '114d27m29s'] ['39d42m36s', '114d23m58s'] ['39d39m54s', '114d27m29s'] ['39d39m54s', '114d23m58s'] 2055
59 37 ['39d42m36s', '114d31m0s'] ['39d42m36s', '114d27m29s'] ['39d39m54s', '114d31m0s'] ['39d39m54s', '114d27m29s'] 2050
60 37 ['39d42m36s', '114d34m31s'] ['39d42m36s', '114d31m0s'] ['39d39m54s', '114d34m31s'] ['39d39m54s', '114d31m0s'] 2098
61 37 ['39d42m36s', '114d38m2s'] ['39d42m36s', '114d34m31s'] ['39d39m54s', '114d38m2s'] ['39d39m54s', '114d34m31s'] 3138
62 37 ['39d42m36s', '114d41m33s'] ['39d42m36s', '114d38m2s'] ['39d39m54s', '114d41m33s'] ['39d39m54s', '114d38m2s'] 2959
63 37 ['39d42m36s', '114d45m4s'] ['39d42m36s', '114d41m33s'] ['39d39m54s', '114d45m4s'] ['39d39m54s', '114d41m33s'] 2274
64 37 ['39d42m36s', '114d48m35s'] ['39d42m36s', '114d45m4s'] ['39d39m54s', '114d48m35s'] ['39d39m54s', '114d45m4s'] 1873
65 37 ['39d42m36s', '114d52m6s'] ['39d42m36s', '114d48m35s'] ['39d39m54s', '114d52m6s'] ['39d39m54s', '114d48m35s'] 2932
66 37 ['39d42m36s', '114d55m37s'] ['39d42m36s', '114d52m6s'] ['39d39m54s', '114d55m37s'] ['39d39m54s', '114d52m6s'] 3025
67 37 ['39d42m36s', '114d59m8s'] ['39d42m36s', '114d55m37s'] ['39d39m54s', '114d59m8s'] ['39d39m54s', '114d55m37s'] 2874
68 37 ['39d42m36s', '115d2m39s'] ['39d42m36s', '114d59m8s'] ['39d39m54s', '115d2m39s'] ['39d39m54s', '114d59m8s'] 2257
69 37 ['39d42m36s', '115d6m10s'] ['39d42m36s', '115d2m39s'] ['39d39m54s', '115d6m10s'] ['39d39m54s', '115d2m39s'] 2239
70 37 ['39d42m36s', '115d9m41s'] ['39d42m36s', '115d6m10s'] ['39d39m54s', '115d9m41s'] ['39d39m54s', '115d6m10s'] 1958
71 37 ['39d42m36s', '115d13m12s'] ['39d42m36s', '115d9m41s'] ['39d39m54s', '115d13m12s'] ['39d39m54s', '115d9m41s'] 2092
72 37 ['39d42m36s', '115d16m43s'] ['39d42m36s', '115d13m12s'] ['39d39m54s', '115d16m43s'] ['39d39m54s', '115d13m12s'] 2663
73 37 ['39d42m36s', '115d20m14s'] ['39d42m36s', '115d16m43s'] ['39d39m54s', '115d20m14s'] ['39d39m54s', '115d16m43s'] 2682
74 37 ['39d42m36s', '115d23m45s'] ['39d42m36s', '115d20m14s'] ['39d39m54s', '115d23m45s'] ['39d39m54s', '115d20m14s'] 2181
75 37 ['39d42m36s', '115d27m16s'] ['39d42m36s', '115d23m45s'] ['39d39m54s', '115d27m16s'] ['39d39m54s', '115d23m45s'] 1874
76 37 ['39d42m36s', '115d30m47s'] ['39d42m36s', '115d27m16s'] ['39d39m54s', '115d30m47s'] ['39d39m54s', '115d27m16s'] 2023
77 37 ['39d42m36s', '115d34m18s'] ['39d42m36s', '115d30m47s'] ['39d39m54s', '115d34m18s'] ['39d39m54s', '115d30m47s'] 2384
78 37 ['39d42m36s', '115d37m49s'] ['39d42m36s', '115d34m18s'] ['39d39m54s', '115d37m49s'] ['39d39m54s', '115d34m18s'] 2783
79 37 ['39d42m36s', '115d41m20s'] ['39d42m36s', '115d37m49s'] ['39d39m54s', '115d41m20s'] ['39d39m54s', '115d37m49s'] 2716
80 37 ['39d42m36s', '115d44m51s'] ['39d42m36s', '115d41m20s'] ['39d39m54s', '115d44m51s'] ['39d39m54s', '115d41m20s'] 1810
81 37 ['39d42m36s', '115d48m22s'] ['39d42m36s', '115d44m51s'] ['39d39m54s', '115d48m22s'] ['39d39m54s', '115d44m51s'] 2208
82 37 ['39d42m36s', '115d51m53s'] ['39d42m36s', '115d48m22s'] ['39d39m54s', '115d51m53s'] ['39d39m54s', '115d48m22s'] 2921
83 37 ['39d42m36s', '115d55m24s'] ['39d42m36s', '115d51m53s'] ['39d39m54s', '115d55m24s'] ['39d39m54s', '115d51m53s'] 2157
84 37 ['39d42m36s', '115d58m55s'] ['39d42m36s', '115d55m24s'] ['39d39m54s', '115d58m55s'] ['39d39m54s', '115d55m24s'] 1816
85 37 ['39d42m36s', '116d2m26s'] ['39d42m36s', '115d58m55s'] ['39d39m54s', '116d2m26s'] ['39d39m54s', '115d58m55s'] 1819
86 37 ['39d42m36s', '116d5m57s'] ['39d42m36s', '116d2m26s'] ['39d39m54s', '116d5m57s'] ['39d39m54s', '116d2m26s'] 2124
87 37 ['39d42m36s', '116d9m28s'] ['39d42m36s', '116d5m57s'] ['39d39m54s', '116d9m28s'] ['39d39m54s', '116d5m57s'] 2201
88 37 ['39d42m36s', '116d12m59s'] ['39d42m36s', '116d9m28s'] ['39d39m54s', '116d12m59s'] ['39d39m54s', '116d9m28s'] 1943
89 37 ['39d42m36s', '116d16m30s'] ['39d42m36s', '116d12m59s'] ['39d39m54s', '116d16m30s'] ['39d39m54s', '116d12m59s'] 2097
90 37 ['39d42m36s', '116d20m1s'] ['39d42m36s', '116d16m30s'] ['39d39m54s', '116d20m1s'] ['39d39m54s', '116d16m30s'] 1940
91 37 ['39d42m36s', '116d23m32s'] ['39d42m36s', '116d20m1s'] ['39d39m54s', '116d23m32s'] ['39d39m54s', '116d20m1s'] 1932
92 37 ['39d42m36s', '116d27m3s'] ['39d42m36s', '116d23m32s'] ['39d39m54s', '116d27m3s'] ['39d39m54s', '116d23m32s'] 1932
93 37 ['39d42m36s', '116d30m34s'] ['39d42m36s', '116d27m3s'] ['39d39m54s', '116d30m34s'] ['39d39m54s', '116d27m3s'] 1927
94 37 ['39d42m36s', '116d34m5s'] ['39d42m36s', '116d30m34s'] ['39d39m54s', '116d34m5s'] ['39d39m54s', '116d30m34s'] 2146
95 37 ['39d42m36s', '116d37m36s'] ['39d42m36s', '116d34m5s'] ['39d39m54s', '116d37m36s'] ['39d39m54s', '116d34m5s'] 2643
96 37 ['39d42m36s', '116d41m7s'] ['39d42m36s', '116d37m36s'] ['39d39m54s', '116d41m7s'] ['39d39m54s', '116d37m36s'] 2489
97 37 ['39d42m36s', '116d44m38s'] ['39d42m36s', '116d41m7s'] ['39d39m54s', '116d44m38s'] ['39d39m54s', '116d41m7s'] 2111
98 37 ['39d42m36s', '116d48m9s'] ['39d42m36s', '116d44m38s'] ['39d39m54s', '116d48m9s'] ['39d39m54s', '116d44m38s'] 2056
99 37 ['39d42m36s', '116d51m40s'] ['39d42m36s', '116d48m9s'] ['39d39m54s', '116d51m40s'] ['39d39m54s', '116d48m9s'] 1978
100 37 ['39d42m36s', '116d55m11s'] ['39d42m36s', '116d51m40s'] ['39d39m54s', '116d55m11s'] ['39d39m54s', '116d51m40s'] 2353
101 37 ['39d42m36s', '116d58m42s'] ['39d42m36s', '116d55m11s'] ['39d39m54s', '116d58m42s'] ['39d39m54s', '116d55m11s'] 3103
102 37 ['39d42m36s', '117d2m13s'] ['39d42m36s', '116d58m42s'] ['39d39m54s', '117d2m13s'] ['39d39m54s', '116d58m42s'] 2813
103 37 ['39d42m36s', '117d5m44s'] ['39d42m36s', '117d2m13s'] ['39d39m54s', '117d5m44s'] ['39d39m54s', '117d2m13s'] 2139
104 37 ['39d42m36s', '117d9m15s'] ['39d42m36s', '117d5m44s'] ['39d39m54s', '117d9m15s'] ['39d39m54s', '117d5m44s'] 1871
105 37 ['39d42m36s', '117d12m46s'] ['39d42m36s', '117d9m15s'] ['39d39m54s', '117d12m46s'] ['39d39m54s', '117d9m15s'] 1765
106 37 ['39d42m36s', '117d16m17s'] ['39d42m36s', '117d12m46s'] ['39d39m54s', '117d16m17s'] ['39d39m54s', '117d12m46s'] 2386
107 37 ['39d42m36s', '117d19m48s'] ['39d42m36s', '117d16m17s'] ['39d39m54s', '117d19m48s'] ['39d39m54s', '117d16m17s'] 2277
108 37 ['39d42m36s', '117d23m19s'] ['39d42m36s', '117d19m48s'] ['39d39m54s', '117d23m19s'] ['39d39m54s', '117d19m48s'] 2041
109 37 ['39d42m36s', '117d26m50s'] ['39d42m36s', '117d23m19s'] ['39d39m54s', '117d26m50s'] ['39d39m54s', '117d23m19s'] 2128
110 37 ['39d42m36s', '117d30m21s'] ['39d42m36s', '117d26m50s'] ['39d39m54s', '117d30m21s'] ['39d39m54s', '117d26m50s'] 2549
111 37 ['39d42m36s', '117d33m52s'] ['39d42m36s', '117d30m21s'] ['39d39m54s', '117d33m52s'] ['39d39m54s', '117d30m21s'] 2008
112 37 ['39d42m36s', '117d37m23s'] ['39d42m36s', '117d33m52s'] ['39d39m54s', '117d37m23s'] ['39d39m54s', '117d33m52s'] 1593
113 37 ['39d42m36s', '117d40m54s'] ['39d42m36s', '117d37m23s'] ['39d39m54s', '117d40m54s'] ['39d39m54s', '117d37m23s'] 1979
114 37 ['39d42m36s', '117d44m25s'] ['39d42m36s', '117d40m54s'] ['39d39m54s', '117d44m25s'] ['39d39m54s', '117d40m54s'] 2312
115 37 ['39d42m36s', '117d47m56s'] ['39d42m36s', '117d44m25s'] ['39d39m54s', '117d47m56s'] ['39d39m54s', '117d44m25s'] 2533
116 37 ['39d42m36s', '117d51m27s'] ['39d42m36s', '117d47m56s'] ['39d39m54s', '117d51m27s'] ['39d39m54s', '117d47m56s'] 2689
117 37 ['39d42m36s', '117d54m58s'] ['39d42m36s', '117d51m27s'] ['39d39m54s', '117d54m58s'] ['39d39m54s', '117d51m27s'] 1907
118 37 ['39d42m36s', '117d58m29s'] ['39d42m36s', '117d54m58s'] ['39d39m54s', '117d58m29s'] ['39d39m54s', '117d54m58s'] 1628
119 37 ['39d42m36s', '118d2m0s'] ['39d42m36s', '117d58m29s'] ['39d39m54s', '118d2m0s'] ['39d39m54s', '117d58m29s'] 1469
120 37 ['39d42m36s', '118d5m31s'] ['39d42m36s', '118d2m0s'] ['39d39m54s', '118d5m31s'] ['39d39m54s', '118d2m0s'] 1066
121 37 ['39d42m36s', '118d9m2s'] ['39d42m36s', '118d5m31s'] ['39d39m54s', '118d9m2s'] ['39d39m54s', '118d5m31s'] 1094
122 37 ['39d42m36s', '118d12m33s'] ['39d42m36s', '118d9m2s'] ['39d39m54s', '118d12m33s'] ['39d39m54s', '118d9m2s'] 1702
123 37 ['39d42m36s', '118d16m4s'] ['39d42m36s', '118d12m33s'] ['39d39m54s', '118d16m4s'] ['39d39m54s', '118d12m33s'] 2239
124 37 ['39d42m36s', '118d19m35s'] ['39d42m36s', '118d16m4s'] ['39d39m54s', '118d19m35s'] ['39d39m54s', '118d16m4s'] 1810
125 37 ['39d42m36s', '118d23m6s'] ['39d42m36s', '118d19m35s'] ['39d39m54s', '118d23m6s'] ['39d39m54s', '118d19m35s'] 1216
126 37 ['39d42m36s', '118d26m37s'] ['39d42m36s', '118d23m6s'] ['39d39m54s', '118d26m37s'] ['39d39m54s', '118d23m6s'] 1198
127 37 ['39d42m36s', '118d30m8s'] ['39d42m36s', '118d26m37s'] ['39d39m54s', '118d30m8s'] ['39d39m54s', '118d26m37s'] 1199
128 37 ['39d42m36s', '118d33m39s'] ['39d42m36s', '118d30m8s'] ['39d39m54s', '118d33m39s'] ['39d39m54s', '118d30m8s'] 1208
129 37 ['39d42m36s', '118d37m10s'] ['39d42m36s', '118d33m39s'] ['39d39m54s', '118d37m10s'] ['39d39m54s', '118d33m39s'] 1210
130 37 ['39d42m36s', '118d40m41s'] ['39d42m36s', '118d37m10s'] ['39d39m54s', '118d40m41s'] ['39d39m54s', '118d37m10s'] 1207
131 37 ['39d42m36s', '118d44m12s'] ['39d42m36s', '118d40m41s'] ['39d39m54s', '118d44m12s'] ['39d39m54s', '118d40m41s'] 1206
132 37 ['39d42m36s', '118d47m43s'] ['39d42m36s', '118d44m12s'] ['39d39m54s', '118d47m43s'] ['39d39m54s', '118d44m12s'] 1207
133 37 ['39d42m36s', '118d51m14s'] ['39d42m36s', '118d47m43s'] ['39d39m54s', '118d51m14s'] ['39d39m54s', '118d47m43s'] 1251
134 37 ['39d42m36s', '118d54m45s'] ['39d42m36s', '118d51m14s'] ['39d39m54s', '118d54m45s'] ['39d39m54s', '118d51m14s'] 1269
135 37 ['39d42m36s', '118d58m16s'] ['39d42m36s', '118d54m45s'] ['39d39m54s', '118d58m16s'] ['39d39m54s', '118d54m45s'] 1461
136 37 ['39d42m36s', '119d1m47s'] ['39d42m36s', '118d58m16s'] ['39d39m54s', '119d1m47s'] ['39d39m54s', '118d58m16s'] 1678
137 37 ['39d42m36s', '119d5m18s'] ['39d42m36s', '119d1m47s'] ['39d39m54s', '119d5m18s'] ['39d39m54s', '119d1m47s'] 1624
138 37 ['39d42m36s', '119d8m49s'] ['39d42m36s', '119d5m18s'] ['39d39m54s', '119d8m49s'] ['39d39m54s', '119d5m18s'] 1580
139 37 ['39d42m36s', '119d12m20s'] ['39d42m36s', '119d8m49s'] ['39d39m54s', '119d12m20s'] ['39d39m54s', '119d8m49s'] 2110
140 37 ['39d42m36s', '119d15m51s'] ['39d42m36s', '119d12m20s'] ['39d39m54s', '119d15m51s'] ['39d39m54s', '119d12m20s'] 1825
141 37 ['39d42m36s', '119d19m22s'] ['39d42m36s', '119d15m51s'] ['39d39m54s', '119d19m22s'] ['39d39m54s', '119d15m51s'] 1436
142 37 ['39d42m36s', '119d22m53s'] ['39d42m36s', '119d19m22s'] ['39d39m54s', '119d22m53s'] ['39d39m54s', '119d19m22s'] 1755
143 37 ['39d42m36s', '119d26m24s'] ['39d42m36s', '119d22m53s'] ['39d39m54s', '119d26m24s'] ['39d39m54s', '119d22m53s'] 2390
144 37 ['39d42m36s', '119d29m55s'] ['39d42m36s', '119d26m24s'] ['39d39m54s', '119d29m55s'] ['39d39m54s', '119d26m24s'] 2408
145 37 ['39d42m36s', '119d33m26s'] ['39d42m36s', '119d29m55s'] ['39d39m54s', '119d33m26s'] ['39d39m54s', '119d29m55s'] 2166
146 37 ['39d42m36s', '119d36m57s'] ['39d42m36s', '119d33m26s'] ['39d39m54s', '119d36m57s'] ['39d39m54s', '119d33m26s'] 1972
147 37 ['39d42m36s', '119d40m28s'] ['39d42m36s', '119d36m57s'] ['39d39m54s', '119d40m28s'] ['39d39m54s', '119d36m57s'] 1866
148 37 ['39d42m36s', '119d43m59s'] ['39d42m36s', '119d40m28s'] ['39d39m54s', '119d43m59s'] ['39d39m54s', '119d40m28s'] 1804
149 37 ['39d42m36s', '119d47m30s'] ['39d42m36s', '119d43m59s'] ['39d39m54s', '119d47m30s'] ['39d39m54s', '119d43m59s'] 1704
150 37 ['39d42m36s', '119d51m1s'] ['39d42m36s', '119d47m30s'] ['39d39m54s', '119d51m1s'] ['39d39m54s', '119d47m30s'] 1800
151 37 ['39d42m36s', '119d54m32s'] ['39d42m36s', '119d51m1s'] ['39d39m54s', '119d54m32s'] ['39d39m54s', '119d51m1s'] 1755
152 37 ['39d42m36s', '119d58m3s'] ['39d42m36s', '119d54m32s'] ['39d39m54s', '119d58m3s'] ['39d39m54s', '119d54m32s'] 1741
153 37 ['39d42m36s', '120d1m34s'] ['39d42m36s', '119d58m3s'] ['39d39m54s', '120d1m34s'] ['39d39m54s', '119d58m3s'] 1986
154 37 ['39d42m36s', '120d5m5s'] ['39d42m36s', '120d1m34s'] ['39d39m54s', '120d5m5s'] ['39d39m54s', '120d1m34s'] 2175
155 37 ['39d42m36s', '120d8m36s'] ['39d42m36s', '120d5m5s'] ['39d39m54s', '120d8m36s'] ['39d39m54s', '120d5m5s'] 2446
