X	Y	NorthWest		NorthEast		SouthWest		SouthEast		Elevation
116 0 ['38d5m24s', '124d42m54s'] ['38d5m24s', '124d35m52s'] ['38d0m0s', '124d42m54s'] ['38d0m0s', '124d35m52s'] 0
117 0 ['38d5m24s', '124d49m56s'] ['38d5m24s', '124d42m54s'] ['38d0m0s', '124d49m56s'] ['38d0m0s', '124d42m54s'] 0
118 0 ['38d5m24s', '124d56m58s'] ['38d5m24s', '124d49m56s'] ['38d0m0s', '124d56m58s'] ['38d0m0s', '124d49m56s'] 0
119 0 ['38d5m24s', '125d4m0s'] ['38d5m24s', '124d56m58s'] ['38d0m0s', '125d4m0s'] ['38d0m0s', '124d56m58s'] 0
120 0 ['38d5m24s', '125d11m2s'] ['38d5m24s', '125d4m0s'] ['38d0m0s', '125d11m2s'] ['38d0m0s', '125d4m0s'] 0
0 1 ['38d10m48s', '111d7m2s'] ['38d10m48s', '111d0m0s'] ['38d5m24s', '111d7m2s'] ['38d5m24s', '111d0m0s'] 1961
1 1 ['38d10m48s', '111d14m4s'] ['38d10m48s', '111d7m2s'] ['38d5m24s', '111d14m4s'] ['38d5m24s', '111d7m2s'] 2327
2 1 ['38d10m48s', '111d21m6s'] ['38d10m48s', '111d14m4s'] ['38d5m24s', '111d21m6s'] ['38d5m24s', '111d14m4s'] 3282
3 1 ['38d10m48s', '111d28m8s'] ['38d10m48s', '111d21m6s'] ['38d5m24s', '111d28m8s'] ['38d5m24s', '111d21m6s'] 3430
4 1 ['38d10m48s', '111d35m10s'] ['38d10m48s', '111d28m8s'] ['38d5m24s', '111d35m10s'] ['38d5m24s', '111d28m8s'] 3456
5 1 ['38d10m48s', '111d42m12s'] ['38d10m48s', '111d35m10s'] ['38d5m24s', '111d42m12s'] ['38d5m24s', '111d35m10s'] 3155
6 1 ['38d10m48s', '111d49m14s'] ['38d10m48s', '111d42m12s'] ['38d5m24s', '111d49m14s'] ['38d5m24s', '111d42m12s'] 3033
7 1 ['38d10m48s', '111d56m16s'] ['38d10m48s', '111d49m14s'] ['38d5m24s', '111d56m16s'] ['38d5m24s', '111d49m14s'] 2897
8 1 ['38d10m48s', '112d3m18s'] ['38d10m48s', '111d56m16s'] ['38d5m24s', '112d3m18s'] ['38d5m24s', '111d56m16s'] 2408
9 1 ['38d10m48s', '112d10m20s'] ['38d10m48s', '112d3m18s'] ['38d5m24s', '112d10m20s'] ['38d5m24s', '112d3m18s'] 3016
10 1 ['38d10m48s', '112d17m22s'] ['38d10m48s', '112d10m20s'] ['38d5m24s', '112d17m22s'] ['38d5m24s', '112d10m20s'] 2754
11 1 ['38d10m48s', '112d24m24s'] ['38d10m48s', '112d17m22s'] ['38d5m24s', '112d24m24s'] ['38d5m24s', '112d17m22s'] 3095
12 1 ['38d10m48s', '112d31m26s'] ['38d10m48s', '112d24m24s'] ['38d5m24s', '112d31m26s'] ['38d5m24s', '112d24m24s'] 3260
13 1 ['38d10m48s', '112d38m28s'] ['38d10m48s', '112d31m26s'] ['38d5m24s', '112d38m28s'] ['38d5m24s', '112d31m26s'] 2316
14 1 ['38d10m48s', '112d45m30s'] ['38d10m48s', '112d38m28s'] ['38d5m24s', '112d45m30s'] ['38d5m24s', '112d38m28s'] 2593
15 1 ['38d10m48s', '112d52m32s'] ['38d10m48s', '112d45m30s'] ['38d5m24s', '112d52m32s'] ['38d5m24s', '112d45m30s'] 2571
16 1 ['38d10m48s', '112d59m34s'] ['38d10m48s', '112d52m32s'] ['38d5m24s', '112d59m34s'] ['38d5m24s', '112d52m32s'] 2307
17 1 ['38d10m48s', '113d6m36s'] ['38d10m48s', '112d59m34s'] ['38d5m24s', '113d6m36s'] ['38d5m24s', '112d59m34s'] 2308
18 1 ['38d10m48s', '113d13m38s'] ['38d10m48s', '113d6m36s'] ['38d5m24s', '113d13m38s'] ['38d5m24s', '113d6m36s'] 2048
19 1 ['38d10m48s', '113d20m40s'] ['38d10m48s', '113d13m38s'] ['38d5m24s', '113d20m40s'] ['38d5m24s', '113d13m38s'] 1709
20 1 ['38d10m48s', '113d27m42s'] ['38d10m48s', '113d20m40s'] ['38d5m24s', '113d27m42s'] ['38d5m24s', '113d20m40s'] 2302
21 1 ['38d10m48s', '113d34m44s'] ['38d10m48s', '113d27m42s'] ['38d5m24s', '113d34m44s'] ['38d5m24s', '113d27m42s'] 2345
22 1 ['38d10m48s', '113d41m46s'] ['38d10m48s', '113d34m44s'] ['38d5m24s', '113d41m46s'] ['38d5m24s', '113d34m44s'] 2093
23 1 ['38d10m48s', '113d48m48s'] ['38d10m48s', '113d41m46s'] ['38d5m24s', '113d48m48s'] ['38d5m24s', '113d41m46s'] 2575
24 1 ['38d10m48s', '113d55m50s'] ['38d10m48s', '113d48m48s'] ['38d5m24s', '113d55m50s'] ['38d5m24s', '113d48m48s'] 2912
25 1 ['38d10m48s', '114d2m52s'] ['38d10m48s', '113d55m50s'] ['38d5m24s', '114d2m52s'] ['38d5m24s', '113d55m50s'] 2468
26 1 ['38d10m48s', '114d9m54s'] ['38d10m48s', '114d2m52s'] ['38d5m24s', '114d9m54s'] ['38d5m24s', '114d2m52s'] 2575
27 1 ['38d10m48s', '114d16m56s'] ['38d10m48s', '114d9m54s'] ['38d5m24s', '114d16m56s'] ['38d5m24s', '114d9m54s'] 2367
28 1 ['38d10m48s', '114d23m58s'] ['38d10m48s', '114d16m56s'] ['38d5m24s', '114d23m58s'] ['38d5m24s', '114d16m56s'] 2708
29 1 ['38d10m48s', '114d31m0s'] ['38d10m48s', '114d23m58s'] ['38d5m24s', '114d31m0s'] ['38d5m24s', '114d23m58s'] 2184
30 1 ['38d10m48s', '114d38m2s'] ['38d10m48s', '114d31m0s'] ['38d5m24s', '114d38m2s'] ['38d5m24s', '114d31m0s'] 2402
31 1 ['38d10m48s', '114d45m4s'] ['38d10m48s', '114d38m2s'] ['38d5m24s', '114d45m4s'] ['38d5m24s', '114d38m2s'] 2115
32 1 ['38d10m48s', '114d52m6s'] ['38d10m48s', '114d45m4s'] ['38d5m24s', '114d52m6s'] ['38d5m24s', '114d45m4s'] 1822
33 1 ['38d10m48s', '114d59m8s'] ['38d10m48s', '114d52m6s'] ['38d5m24s', '114d59m8s'] ['38d5m24s', '114d52m6s'] 2175
34 1 ['38d10m48s', '115d6m10s'] ['38d10m48s', '114d59m8s'] ['38d5m24s', '115d6m10s'] ['38d5m24s', '114d59m8s'] 1836
35 1 ['38d10m48s', '115d13m12s'] ['38d10m48s', '115d6m10s'] ['38d5m24s', '115d13m12s'] ['38d5m24s', '115d6m10s'] 2138
36 1 ['38d10m48s', '115d20m14s'] ['38d10m48s', '115d13m12s'] ['38d5m24s', '115d20m14s'] ['38d5m24s', '115d13m12s'] 2180
37 1 ['38d10m48s', '115d27m16s'] ['38d10m48s', '115d20m14s'] ['38d5m24s', '115d27m16s'] ['38d5m24s', '115d20m14s'] 2142
38 1 ['38d10m48s', '115d34m18s'] ['38d10m48s', '115d27m16s'] ['38d5m24s', '115d34m18s'] ['38d5m24s', '115d27m16s'] 2522
39 1 ['38d10m48s', '115d41m20s'] ['38d10m48s', '115d34m18s'] ['38d5m24s', '115d41m20s'] ['38d5m24s', '115d34m18s'] 3025
40 1 ['38d10m48s', '115d48m22s'] ['38d10m48s', '115d41m20s'] ['38d5m24s', '115d48m22s'] ['38d5m24s', '115d41m20s'] 3091
41 1 ['38d10m48s', '115d55m24s'] ['38d10m48s', '115d48m22s'] ['38d5m24s', '115d55m24s'] ['38d5m24s', '115d48m22s'] 2379
42 1 ['38d10m48s', '116d2m26s'] ['38d10m48s', '115d55m24s'] ['38d5m24s', '116d2m26s'] ['38d5m24s', '115d55m24s'] 1716
43 1 ['38d10m48s', '116d9m28s'] ['38d10m48s', '116d2m26s'] ['38d5m24s', '116d9m28s'] ['38d5m24s', '116d2m26s'] 2002
44 1 ['38d10m48s', '116d16m30s'] ['38d10m48s', '116d9m28s'] ['38d5m24s', '116d16m30s'] ['38d5m24s', '116d9m28s'] 2247
45 1 ['38d10m48s', '116d23m32s'] ['38d10m48s', '116d16m30s'] ['38d5m24s', '116d23m32s'] ['38d5m24s', '116d16m30s'] 2198
46 1 ['38d10m48s', '116d30m34s'] ['38d10m48s', '116d23m32s'] ['38d5m24s', '116d30m34s'] ['38d5m24s', '116d23m32s'] 2348
47 1 ['38d10m48s', '116d37m36s'] ['38d10m48s', '116d30m34s'] ['38d5m24s', '116d37m36s'] ['38d5m24s', '116d30m34s'] 1866
48 1 ['38d10m48s', '116d44m38s'] ['38d10m48s', '116d37m36s'] ['38d5m24s', '116d44m38s'] ['38d5m24s', '116d37m36s'] 2279
49 1 ['38d10m48s', '116d51m40s'] ['38d10m48s', '116d44m38s'] ['38d5m24s', '116d51m40s'] ['38d5m24s', '116d44m38s'] 2370
50 1 ['38d10m48s', '116d58m42s'] ['38d10m48s', '116d51m40s'] ['38d5m24s', '116d58m42s'] ['38d5m24s', '116d51m40s'] 2427
